flare_class,flare_location,connectivity
M2.5,S22W53,0.3939393939
M9.3,N15W39,0.2653061224
X6.9,N17W69,1
X2.1,N14W17,0.2
X1.4,N09E89,0.02284710018
M8.7,N28W20,0.1604938271
X1.7,N31W90,0.3513513514
X5.4,N18E31,0.07975460123
# X1.3,N17E27,
M7.9,N18W59,0.2765957447
M5.1,N06W90,0.5652173915
X1.1,S17W50,0.07182320442
M6.9,S17W74,0.07784431138
M7.7,S17W91,0.1192660551
B,S15W135,0.02040816327
M6.5,N07E13,0.08965517242
M5.0,N13W75,0.1733333333
B,N23W25,0.03291139241
M4.4,S06E28,0.02615694165
B,S04W138,0.0284463895
B,S12E226,0.06951871658
B,S14W111,0.3513513514
# X1.2,S15W10,
X4.9,S15E77,0.03561643836
M7.3,S18W29,0.1074380165
B,N10E127,0.01014832162
X1.6,N15E05,0.04207119741
# B,NONE,0.1494252874
# ========= OLD DATA
# M2.5,S22W53,0.3939393939
# M9.3,N16W38,0.2653061224
# X6.9,N14W69,1.0
# X2.1,N14W18,0.2
# X1.4,N09E89,0.02284710018
# M8.7,N33W21,0.1604938271
# X1.7,N33W85,0.3513513514
# X5.4,N18E31,0.07975460123
# # X1.3,N15E26,
# M7.9,N17W66,0.2765957447
# M5.1,N07W88,0.5652173915
# X1.1,S13W59,0.07182320442
# M6.9,S14W86,0.07784431138
# M7.7,S13W88,0.1192660551
# B,S15W135,0.02040816327
# M6.5,N07E13,0.08965517242
# M5.0,N14W87,0.1733333333
# B,N23W25,0.03291139241
# M4.4,S06E28,0.02615694165
# B,S04W138,0.0284463895
# B,S12E226,0.06951871658
# B,S14W111,0.3513513514
# # X1.2,S12W08,
# X4.9,S12E77,0.03561643836
# M7.3,S20W34,0.1074380165
# B,N10E127,0.01014832162
# X1.6,N11E05,0.04207119741
# # B,NONE,0.1494252874
